moviesID,Title,IMDb Score,Rotten Tomatoes Score,Metacritic Score
771,Monaco Franze,8.2,,
772,Private Lives,6.8,80,
773,Do Do Sol Sol La La Sol,7.4,,
774,The Tank Battalion,6.6,,
775,To the Lake,7.3,,
776,Hubie Halloween,5.2,,53
777,The Rest Of Us,6.2,91,74
778,Doraemon the Movie: Nobitas Treasure Island,6.7,57,
779,Honey Boy,7.3,94,73
780,Black Christmas,7.2,71,65
781,Jujutsu Kaisen,8.7,,
782,Bad Boy Billionaires: India,8,,
783,David Attenborough: A Life on Our Planet,9,,72
784,Spotlight,8.1,97,93
785,Judy,6.8,81,66
786,Song Exploder,7.5,,
787,Emily in Paris,7.1,,
788,Serious Men,6.8,,
789,Vampires vs. the Bronx,5.6,,76
790,Youve Got This,7.7,,
791,Dick Johnson Is Dead,7.5,,89
792,Ricky Zoom,6.6,,
793,Shivers,6.4,85,58
794,Octav,6.9,,
795,Banana,7.5,,
796,Aliens,8.3,97,84
797,Rocks,7.6,,
798,Tucked,6.6,95,
799,White Teeth,7.4,85,
800,Daria,8,,
801,Familiar Wife,7.5,,
802,Code Lyoko,7.3,,
